robustness,alpha_lon_accel_max,alpha_lon_brake_max,alpha_lon_brake_min,response_time,alpha_lat_accel_max,alpha_lat_brake_min,lateral_fluctuation_margin,alpha_lon_brake_min_correct
20.386787590822692,6.2933977663701155,9.172504047215174,4.458047571572202,1.4887142138538276,0.2,0.8,0.0,2.0
20.388105189670913,9.500896053507477,6.181628178053787,2.0149664971489285,0.834075440710569,0.2,0.8,0.0,2.0
20.389152384686003,2.4315993240132183,11.707728677876105,5.235870316531297,2.915871463531397,0.2,0.8,0.0,2.0
20.393402516333516,6.841079369090853,6.188454182257313,2.572851369527353,1.1919281562054684,0.2,0.8,0.0,2.0
20.39402349073996,2.1201808841592182,6.031132721557973,2.3101520603774066,2.4432219154883064,0.2,0.8,0.0,2.0
20.39441864474266,4.512564562181609,10.534695314754924,3.2527715906361863,1.7605666077051976,0.2,0.8,0.0,2.0
20.395199479627962,5.150733073109142,8.518426593492165,5.1658755919506065,1.8230085430895655,0.2,0.8,0.0,2.0
20.395220564194933,4.46354325656484,8.813343209232322,4.045270725302038,1.752411532440158,0.2,0.8,0.0,2.0
20.396436791547156,4.399161263000295,14.914787976173782,4.4715123872807965,2.025473977215837,0.2,0.8,0.0,2.0
20.399743670263085,3.45192084847167,8.348382672553788,2.5249351400476963,1.9737163284978163,0.2,0.8,0.0,2.0
20.40163568767121,2.8904045251726496,13.713382062226742,3.8301307530908737,2.309004303001436,0.2,0.8,0.0,2.0
20.40188343105867,2.8801986423269024,7.0310216879609335,5.884346660907536,2.779654790147545,0.2,0.8,0.0,2.0
20.40309458307554,9.943803402998784,9.67782989938237,3.747255551634185,0.9283512838867498,0.2,0.8,0.0,2.0
20.403292893686558,1.6764155837115062,9.181147627615696,4.224721314955902,3.208603807907298,0.2,0.8,0.0,2.0
20.40796521681624,5.119611746725709,6.441061279988568,3.1496511107989207,1.6561983579038,0.2,0.8,0.0,2.0
20.40952204690641,8.035328990755932,6.0195895169994165,5.510530082902338,1.3392683893488968,0.2,0.8,0.0,2.0
20.41121576635252,9.798233103881714,7.957367752962696,4.651339487751162,0.8769049440133304,0.2,0.8,0.0,2.0
20.412352504307805,2.5173061177984453,6.407165878823391,3.087710226006694,2.449283466240124,0.2,0.8,0.0,2.0
20.415731273111025,5.768221579192456,6.767463077969222,3.1786591030892466,1.4810314812954943,0.2,0.8,0.0,2.0
