name,count,mean,std,min,25%,50%,75%,max,robustness_bin
alpha_lon_brake_max,755.0,8.194497041104544,2.3713024750339033,6.000201027785192,6.294737548458813,7.2850698321961564,9.586985486607091,14.969660133111567,4
alpha_lon_brake_min,755.0,5.481726729353863,0.5439767248872195,2.44748905194912,5.250241212649112,5.606303309300811,5.890459216392661,5.9999326430582745,4
response_time,755.0,0.2969419009093456,0.23799271645308812,0.050026732010854065,0.11568636552565123,0.2322201866191261,0.39565830693422216,1.3621890684827402,4
alpha_lon_accel_max,648.0,2.7914095109064703,2.0620288053628775,0.000902503776839883,1.0821240264937355,2.65915972402323,4.077137266580813,9.945788500026556,5
alpha_lon_brake_max,648.0,8.496412773328862,2.433512348046928,6.0,6.507736264405379,7.5777251668760375,10.025274817077698,14.984550389295102,5
alpha_lon_brake_min,648.0,5.245615102991998,0.8093724726621854,2.031547077114671,4.998119026812978,5.478287035224434,5.8085909330992225,5.999492146926946,5
response_time,648.0,0.7194108896096166,0.554375283180776,0.05938771756585229,0.4082544207129374,0.5659871543748283,0.8141119865289144,4.532179250387731,5
alpha_lon_accel_max,339.0,3.239237422334286,2.4250388524183477,0.0008857468579709371,1.285035152628519,2.7715161739450216,4.88462557504587,9.951691314830864,6
alpha_lon_brake_max,339.0,9.039807158398768,2.578543350484999,6.003127825215942,6.747083603555075,8.262392925762054,10.893965548743255,14.995064315958125,6
alpha_lon_brake_min,339.0,4.852096030289005,0.9973963479011474,2.00035040641932,4.315808181114301,5.109018876651224,5.67417544723172,5.999955475282407,6
response_time,339.0,1.327705984426225,0.8987112517522128,0.2207197941869039,0.7498149148736577,1.0229287045319742,1.6050288693437729,4.868447986541571,6
alpha_lon_accel_max,42.0,3.822725565671521,2.259238051490519,0.22447082449963074,2.4107356923300154,3.8018557702631157,5.339657388066916,9.864496669570107,7
alpha_lon_brake_max,42.0,8.010064024217186,1.8712993435579426,6.0010762332429275,6.60959360845707,7.667701425201926,8.366485682416727,13.92327916976047,7
alpha_lon_brake_min,42.0,4.9258065853708315,0.8230250513751362,3.1756005535038048,4.275168174785405,5.03683869952142,5.768686967997702,5.996589196721652,7
response_time,42.0,1.8289969347701922,1.1457276475293554,0.5912012839136632,1.1328972284482748,1.396396454288011,1.9420583337151762,4.950506174519722,7
alpha_lon_accel_max,27.0,3.9877520453106325,2.31742087434591,0.38212904147863214,2.626814622000562,3.7873083991059713,4.703717350060881,9.940052524133744,8
alpha_lon_brake_max,27.0,9.917955201605613,2.839514885833641,6.176409017666388,7.396977513792907,9.07804776062641,11.934309622238732,14.96322743684402,8
alpha_lon_brake_min,27.0,4.806237671501732,0.9519908361587701,2.3702620771494303,4.184183067865905,4.636297035038053,5.768919976969187,5.994440581763572,8
response_time,27.0,1.7202700315722548,0.8275089989083604,0.6782768303983471,1.2777339590855914,1.5019941306966975,1.8896695320718693,4.16706471111866,8
alpha_lon_accel_max,25.0,4.247216301826249,2.5042909289527704,0.3877228785978575,2.5234486801959917,3.5763333328528897,6.127931491017651,9.963741492405793,9
alpha_lon_brake_max,25.0,9.146016344251802,1.9203754873037857,6.111288701809208,7.631015239486272,8.674325710445679,10.203951854093123,13.203983887968867,9
alpha_lon_brake_min,25.0,4.435079479265323,1.152150870486665,2.1943901640432517,3.61126373795264,4.316090146256273,5.247952412497352,5.9888959845149525,9
response_time,25.0,1.766842842707583,0.9250423543930931,0.6308140326191639,1.183614040569678,1.5160056699728666,2.2253504881692767,4.757180135736436,9
alpha_lon_accel_max,18.0,3.1681575187695312,1.6427409786587772,0.7009686237690269,2.1231809546845986,2.9998784661714044,4.341241163682492,6.406157286940241,10
alpha_lon_brake_max,18.0,9.825570276742898,2.983221988289751,6.054904624962719,6.711433568624088,10.072346926710425,12.09268493862547,14.813290057187539,10
alpha_lon_brake_min,18.0,4.862218274585943,0.9578252950347488,2.0341495165604933,4.672550554950693,5.138335303957859,5.284393733739303,5.968412759727134,10
response_time,18.0,2.1672534782096187,0.8653305591234692,1.0401440571500808,1.492360219538041,1.9887494115213193,2.4372783511350695,4.005299247102759,10
alpha_lon_accel_max,21.0,3.9015018563898742,2.1229308222109413,0.4713466543354083,2.0967850118561766,3.6454785485334535,5.72318121947522,7.688121488676827,11
alpha_lon_brake_max,21.0,9.635859620966656,2.617538340212899,6.015339188401206,7.705795502380752,8.713594956575202,11.351829865935215,14.914586149281659,11
alpha_lon_brake_min,21.0,4.708910222415794,1.1306038532458997,2.6070305897307384,4.129259537025882,5.1104950796360775,5.710166470705202,5.973335751493339,11
response_time,21.0,2.0253821678853505,0.9562768287744804,0.9924467176469306,1.246393785802373,1.8387868714083275,2.652486851341379,4.856547037765584,11
alpha_lon_accel_max,15.0,4.586314449042933,2.3159292024204805,0.8084281882657512,3.329250554350882,4.805329287301252,6.469126565505196,8.030814822806152,12
alpha_lon_brake_max,15.0,9.372377520074627,2.5543763218119,6.8432018614070405,6.9845629700568335,8.683870222975267,11.75396598062478,14.546809237716127,12
alpha_lon_brake_min,15.0,4.803238033302113,0.9791009577835295,2.0387124532069465,4.267307922689531,4.948294087891608,5.4889581275299495,5.971826884089945,12
response_time,15.0,1.8606873134998816,0.8867999230080208,1.0464289382989842,1.2437720621726411,1.6030963273995502,1.9826529812453377,4.19539756408575,12
alpha_lon_accel_max,23.0,3.709065416015922,2.202588550965503,0.3972516845204094,2.6729121139464445,3.415156759274724,4.684917431479054,9.322817550434461,13
